Quarters,BAJAJ AUTO LTD.,CIPLA LTD.,COAL INDIA LTD.,DR. REDDY'S LABORATORIES LTD.,GRASIM INDUSTRIES LTD.,H C L TECHNOLOGIES LTD.,HERO MOTOCORP LTD.,HINDALCO INDUSTRIES LTD.,I C I C I BANK LTD.,I T C LTD.,INDUSIND BANK LTD.,INFOSYS LTD.,MARUTI SUZUKI INDIA LTD.,N T P C LTD.,OIL & NATURAL GAS CORPN. LTD.,POWER GRID CORPN. OF INDIA LTD.,STATE BANK OF INDIA,TATA CONSULTANCY SERVICES LTD.,TATA MOTORS LTD.,WIPRO LTD.,market return,SMB,HML,RMW,CMA,MOM
2011Q2,-0.058332217,0.009265579,0.113807501,-0.085331967,-0.166912211,0.015191387,0.161078733,-0.156702697,-0.039265309,0.094538796,0.011907731,-0.122031975,-0.100971291,-0.052066449,-0.078489457,0.054624191,-0.150378579,-0.019705333,-0.22354747,-0.150321082,-0.079724459,-0.041902906,-0.101055714,0.012116499,-0.182174056,0.272706694
2011Q3,0.071225698,-0.170473998,-0.172184743,-0.052168845,0.097005336,-0.193362294,0.014040701,-0.292292448,-0.22063795,-0.044735863,-0.056191207,-0.150016288,-0.086644438,-0.123341874,-0.05006303,-0.121258861,-0.225614577,-0.144395611,-0.863385249,-0.204253665,-0.132737892,0.102783398,-0.158208095,0.040031745,-0.150971065,0.343197536
2011Q4,0.015847613,0.116764126,-0.117942899,0.043664189,0.042497052,-0.072068561,-0.039102799,-0.138930126,-0.238154211,-0.003587156,-0.159052679,0.072361798,-0.172331385,-0.060814515,-0.055954687,-0.003494046,-0.173049407,0.098660667,0.124891964,0.149640543,-0.093672505,-0.07531127,-0.095733274,-0.000242372,-0.045494223,0.280167599
2012Q1,0.034209053,-0.066975601,0.123143838,0.097670301,0.034858922,0.22493907,0.058075304,0.096250445,0.27951525,0.10646223,0.403464195,0.014932815,0.449941149,-0.008898896,0.025079972,0.059708437,0.274091365,-0.013689216,0.519579847,0.083126329,0.182194866,0.128309529,0.010884558,0.097610103,0.02338436,0.341232743
2012Q2,-0.08282228,0.017816954,-0.011279041,-0.085783407,-0.014439652,-0.033783117,0.026097787,-0.09312749,-0.009264634,0.121319566,0.038115105,-0.144297428,-0.153551044,-0.039988223,0.041775139,0.030218927,0.010173552,0.073246865,-0.138876121,-0.111054602,-0.018362082,-0.053415803,-0.06271666,0.015509555,-0.102456755,0.21954688
2012Q3,0.143985194,0.181186767,0.015463195,-0.021088259,0.23539849,0.192413061,-0.144769137,-0.01289918,0.157526981,0.032572278,0.024660775,-0.009309172,0.135034278,0.034677574,-0.033613885,0.04163511,0.018223869,-0.005128572,0.083955093,-0.066708191,0.060231368,0.058763668,-0.048089422,0.050403506,-0.040737647,0.283963337
2012Q4,0.144828747,0.070174317,-0.03123196,0.092200228,-0.063345501,0.051764295,-0.008874311,0.06152258,0.055367318,0.033192975,0.15412633,-0.104977864,0.083579946,-0.088974447,-0.065424422,-0.067388303,0.044999717,-0.050575623,0.148896162,0.015626744,0.063584312,0.044501059,0.023674959,0.003396023,-0.01039198,0.207081519
2013Q1,-0.174516976,-0.102203274,-0.147725193,-0.053487796,-0.131303889,0.266032087,-0.207597492,-0.317004523,-0.10066853,0.060054663,-0.048532988,0.227187501,-0.159083314,-0.1116016,0.143020067,-0.096915875,-0.150024822,0.235807642,-0.158053448,0.089191302,-0.077456048,-0.10959058,-0.135881911,0.033989343,-0.083219545,0.26630525
2013Q2,0.050914341,0.013912347,-0.039404605,0.237857275,-0.03719532,-0.042113423,0.060287894,0.071305599,0.00623103,0.029935891,0.136839074,-0.153365557,0.182027909,-0.005533531,0.045048633,0.033770825,-0.075601581,-0.054768074,0.026928062,-0.219861084,0.017168874,-0.010134074,-0.144364732,0.000155071,-0.082931198,0.279223705
2013Q3,0.010596775,0.081048833,-0.049180675,0.050737758,-0.063659736,0.378622687,0.185763492,0.098834244,-0.197145575,0.027075342,-0.233553818,0.183346406,-0.138942138,0.003330889,-0.213438141,-0.14145586,-0.195865094,0.247426756,0.159603846,0.333035885,-0.099992047,-0.070816233,-0.093008893,0.027560477,0.063634384,0.380233068
